University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,,,,,,,,,,,
"Purdue University, Main Campus (IN) ....................................................",34,"1,861,079",Michigan State University ....................................................,34,"2,007,498","Pennsylvania State University, Main Campus ....................................................",34,"2,264,414",Michigan State University ....................................................,34,"2,671,411",Carnegie Mellon University+,34,"3,888,140",,,,,,,,,,,
University of Richmond (VA) ....................................................,35,"1,868,910","Purdue University, Main Campus (IN) ....................................................",35,"2,189,202","Purdue University, Main Campus (IN) ....................................................",35,"2,445,542","Pennsylvania State University, Main Campus ....................................................",35,"2,395,857",UCLA Foundation,35,"3,873,061",,,,,,,,,,,
Michigan State University ....................................................,36,"1,760,708",University of Richmond (VA) ....................................................,36,"2,025,996",University of Richmond (VA) ....................................................,36,"2,313,305","Purdue University, Main Campus (IN) ....................................................",36,"2,392,725",University of Wisconsin Foundation,36,"3,838,022",,,,,,,,,,,
California Institute of Technology ..............................................,37,"1,813,842","Pennsylvania State University, Main Campus ....................................................",37,"1,924,143","University of California, Los Angeles ....................................................",37,"1,616,045",California Institute of Technology ..............................................,37,"2,078,954",Purdue University,37,"3,793,601",,,,,,,,,,,
"Pennsylvania State University, Main Campus ....................................................",38,"1,772,921",Amherst College (MA) ....................................................,38,"1,823,748",Williams College (MA) ....................................................,38,"2,143,153",University of Richmond (VA) ....................................................,38,"2,371,810",California Institute of Technology,38,"3,665,200",,,,,,,,,,,
Williams College (MA) ....................................................,39,"1,728,549",Williams College (MA) ....................................................,39,"1,902,112",Boston College (MA) ....................................................,39,"2,105,654",Williams College (MA) ....................................................,39,"2,265,857",Indiana University Foundation,39,"3,557,620",,,,,,,,,,,
Boston College (MA) ....................................................,40,"1,632,635",California Institute of Technology ..............................................,40,"1,960,435",Amherst College (MA) ....................................................,40,"2,149,203",Boston College (MA) ....................................................,40,"2,258,601",Williams College,40,"3,486,558",,,,,,,,,,,
Amherst College (MA) ....................................................,41,"1,640,666",Boston College (MA) ....................................................,41,"1,868,699",Pomona College (CA) ....................................................,41,"2,101,461",Amherst College (MA) ....................................................,41,"2,193,511",Trustees of Boston College,41,"3,461,100",,,,,,,,,,,
Pomona College (CA) ....................................................,42,"1,679,640",Pomona College (CA) ....................................................,42,"1,823,441",California Institute of Technology ..............................................,42,"2,118,100",Pomona College (CA) ....................................................,42,"2,098,703",University of Illinois & Foundation,42,"3,383,034",,,,,,,,,,,
University of Rochester (NY) ....................................................,43,"1,581,773",University of Rochester (NY) ....................................................,43,"1,730,829",University of Rochester (NY) ....................................................,43,"2,015,283",University of Rochester (NY) ....................................................,43,"2,050,199",Amherst College,43,"3,341,667",,,,,,,,,,,
